ID,Cole_ini,Cole_fim,N_dias_cole,Cort_cipo,Limpeza_vege,Queima_vegetacao,Mudas,Quant,Plantou,Quant,Sangrou,S_ini,Como,Cas_morreu,Cas_morreu_q,Cas_morreu_c
1,01/12/2018,28/02/2019,89,Sim,Nao,Nao,Sim,3,Nao,,Sim,01/12/2018,Corte,Sim,3,Temporal
2,01/02/2019,28/02/2019,27,Sim,Nao,Nao,Nao,,Nao,,Nao,,,Sim,5,Secou
3,01/02/2019,28/02/2019,27,Sim,Nao,Nao,Nao,,Nao,,Sim,01/02/2019,Janela,Sim,1,
4,01/01/2019,30/01/2019,29,Sim,Nao,Nao,Sim,5,Nao,,Sim,01/01/2019,Janela,Nao,0,
5,01/01/2019,30/01/2019,29,Sim,Nao,Nao,Sim,4,Sim,4,Sim,01/01/2019,Janela,Sim,1,Temporal
6,01/02/2019,28/02/2019,27,Nao,Nao,Nao,Nao,,Nao,,Nao,,,Nao,0,
7,01/01/2019,30/01/2019,29,Sim,Nao,Nao,Nao,,Sim,10,Sim,01/01/2019,Corte,Nao,0,
8,01/01/2019,28/02/2019,58,Sim,Nao,Nao,Nao,,Nao,,Sim,01/01/2019,Corte,Sim,2,Secou
9,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Sim,3,Sim,3,Sim,01/02/2019,Corte,Nao,0,
10,01/11/2018,30/11/2018,29,Nao,Nao,Nao,Sim,3,Sim,10,Nao,,,Nao,0,
11,01/01/2019,30/01/2019,29,Sim,Nao,Nao,Nao,,Nao,,Nao,,,Sim,7,Temporal
12,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Nao,0,
13,01/03/2019,30/03/2019,29,Sim,Sim,Nao,Sim,3,Nao,,Sim,01/03/2019,Corte,Sim,1,Secou
14,01/11/2018,30/01/2019,90,Sim,Sim,Nao,Sim,3,Sim,3,Sim,01/01/2019,Corte,Nao,0,
15,01/02/2019,28/02/2019,27,Nao,Nao,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Nao,0,
16,01/11/2018,30/01/2019,90,Nao,Sim,Nao,Nao,,Nao,,Sim,01/11/2018,Corte,Nao,0,
17,01/02/2019,28/02/2019,27,Nao,Sim,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Nao,0,
18,01/11/2018,30/01/2019,90,Nao,Nao,Nao,Nao,,Nao,,Sim,01/11/2018,Corte,Sim,2,Temporal
19,01/11/2018,30/01/2019,90,Nao,Nao,Nao,Nao,,Nao,,Sim,,,Sim,4,Temporal
20,01/01/2019,30/01/2019,29,Sim,Sim,Nao,Nao,,Sim,51,Nao,01/01/2019,Corte,Nao,0,
21,01/01/2019,30/01/2019,29,Sim,Sim,Nao,Sim,7,Sim,30,Sim,,Corte,Sim,3,Temporal
22,01/11/2018,30/12/2018,59,Sim,Sim,Nao,Sim,,Nao,,Sim,01/11/2018,Corte,Sim,1,Temporal
23,01/01/2019,30/01/2019,29,Sim,Sim,Nao,Sim,6,Nao,,Sim,01/01/2019,Corte,Sim,3,
24,01/01/2019,28/02/2019,58,Sim,Sim,Nao,Sim,,Nao,,Sim,01/02/2019,Corte,Nao,0,
25,01/01/2019,30/03/2019,88,Sim,Sim,Nao,Nao,,Sim,5,Sim,01/01/2019,Corte,Nao,0,
26,01/01/2019,28/02/2019,58,Sim,Sim,Nao,Nao,,Nao,,Sim,01/01/2019,Corte,Nao,0,
27,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Sim,1,idade
28,01/03/2019,30/03/2019,29,Sim,Sim,Nao,Nao,,Nao,,Sim,01/03/2019,Corte,Nao,0,
29,01/01/2019,30/03/2019,88,Sim,Sim,Nao,Nao,,Nao,,Sim,01/01/2019,Corte,Nao,0,
30,01/01/2019,30/01/2019,29,Sim,Nao,Nao,Nao,,Nao,,Sim,01/01/2019,Corte,Nao,0,
31,01/01/2019,30/01/2019,29,Nao,Nao,Nao,Nao,,Nao,,Sim,01/01/2019,Corte,Sim,2,
32,01/11/2018,28/02/2019,119,Sim,Sim,Nao,Sim,12,Nao,,Sim,01/01/2019,Corte,Sim,3,
33,01/11/2018,28/02/2019,119,Sim,Sim,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Sim,3,Copacaiu
34,01/02/2019,30/03/2019,57,Sim,Sim,Nao,Sim,5,Nao,,Sim,01/02/2019,Corte,Sim,1,
35,01/02/2019,30/03/2019,57,Sim,Sim,Nao,Sim,15,Nao,,Sim,01/02/2019,Corte,Nao,0,Desenraizamento
36,01/02/2019,30/03/2019,57,Sim,Sim,Nao,Sim,11,Nao,,Sim,01/02/2019,Corte,Sim,1,Morreuempé
37,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Nao,,Nao,,Sim,01/02/2019,Corte,Sim,1,Desenraizamento
38,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Sim,5,Nao,,Sim,01/02/2019,Corte,Sim,1,Caiu
39,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Sim,10,Nao,,Sim,01/02/2019,Corte,Sim,2,
40,01/02/2019,28/02/2019,27,Sim,Sim,Nao,Sim,5,Nao,,Sim,01/02/2019,Corte,Nao,0,
41,01/01/2019,30/01/2019,27,Nao,Sim,Nao,Nao,,Nao,,Nao,,,Nao,0,
42,01/01/2019,30/01/2019,29,Sim,Sim,Nao,,,Nao,,Sim,01/01/2019,Corte,Nao,0,
