Castanhal;n_da_castanheira;CAP;n_frutos_ouricos_produzidos;n_frutos_ouricos_acessados_pela_fauna;UC;Ano
Coletivo;57;288;215;0;Cazumba;2018
Coletivo;55;267;3;0;Cazumba;2018
Coletivo;54;446;641;1;Cazumba;2018
Coletivo;51;187;88;0;Cazumba;2018
Coletivo;46;326;543;0;Cazumba;2018
Coletivo;44;495;797;0;Cazumba;2018
Coletivo;43;438;262;0;Cazumba;2018
Coletivo;40;366;1199;0;Cazumba;2018
Coletivo;110;338;119;0;Cazumba;2018
Coletivo;109;242;0;0;Cazumba;2018
Coletivo;117;302;120;1;Cazumba;2018
Coletivo;137;351;38;0;Cazumba;2018
Coletivo;141;241;239;1;Cazumba;2018
Coletivo;139;368;21;0;Cazumba;2018
Coletivo;149;470;297;2;Cazumba;2018
Coletivo;157;560;420;0;Cazumba;2018
Coletivo;165;312;73;4;Cazumba;2018
Coletivo;174;333;3;0;Cazumba;2018
Coletivo;7;509;385;5;Cazumba;2018
Coletivo;9;327;112;0;Cazumba;2018
Coletivo;11;158;22;0;Cazumba;2018
Coletivo;19;308;21;0;Cazumba;2018
Coletivo;17;430;146;0;Cazumba;2018
Coletivo;21;437;458;0;Cazumba;2018
Coletivo;26;452;312;0;Cazumba;2018
Coletivo;81;380;303;1;Cazumba;2018
Coletivo;82;317;477;0;Cazumba;2018
Coletivo;92;310;218;0;Cazumba;2018
Coletivo;89;509;108;16;Cazumba;2018
Coletivo;118;460;21;0;Cazumba;2018
Coletivo;119;253;1;0;Cazumba;2018
Coletivo;120;349;62;0;Cazumba;2018
Coletivo;175;640;159;0;Cazumba;2018
Coletivo;186;514;948;0;Cazumba;2018
Coletivo;182;506;81;1;Cazumba;2018
Coletivo;180;443;7;0;Cazumba;2018
Coletivo;192;456;806;0;Cazumba;2018
Coletivo;198;277;150;0;Cazumba;2018
Coletivo;199;535;1348;0;Cazumba;2018
Davi;285;417;136;10;Cazumba;2018
Davi;317;330;6;1;Cazumba;2018
Davi;312;448;79;0;Cazumba;2018
Davi;315;311;2;0;Cazumba;2018
Davi;308;307;105;2;Cazumba;2018
Davi;361;414;711;0;Cazumba;2018
Davi;359;263;79;0;Cazumba;2018
Davi;360;319;9;0;Cazumba;2018
Davi;354;459;149;0;Cazumba;2018
Davi;339;407;10;0;Cazumba;2018
Davi;290;519;411;2;Cazumba;2018
Davi;297;510;2;0;Cazumba;2018
Davi;327;623;248;0;Cazumba;2018
Davi;325;361;12;0;Cazumba;2018
Davi;322;237;58;3;Cazumba;2018
Davi;320;551;81;0;Cazumba;2018
Davi;475;395;162;0;Cazumba;2018
Davi;476;504;567;3;Cazumba;2018
Mariazinha;230;356;344;1;Cazumba;2018
Mariazinha;227;332;231;0;Cazumba;2018
Mariazinha;217;260;296;1;Cazumba;2018
Mariazinha;222;460;448;1;Cazumba;2018
Mariazinha;245;463;800;3;Cazumba;2018
Mariazinha;233;417;111;1;Cazumba;2018
Mariazinha;241;212;54;0;Cazumba;2018
Mariazinha;253;256;33;0;Cazumba;2018
Mariazinha;273;654;99;0;Cazumba;2018
Mariazinha;280;488;28;0;Cazumba;2018
Mariazinha;265;196;134;0;Cazumba;2018
Mariazinha;256;405;260;0;Cazumba;2018
Mariazinha;251;554;186;0;Cazumba;2018
Mariazinha;246;635;480;0;Cazumba;2018
