"","Castanhal","n_da_castanheira","CAP","n_frutos_ouricos_produzidos","n_frutos_ouricos_acessados_pela_fauna","UC","Ano"
"1","Coletivo",57,288,215,0,"Cazumba",2018
"2","Coletivo",55,267,3,0,"Cazumba",2018
"3","Coletivo",54,446,641,1,"Cazumba",2018
"4","Coletivo",51,187,88,0,"Cazumba",2018
"5","Coletivo",46,326,543,0,"Cazumba",2018
"6","Coletivo",44,495,797,0,"Cazumba",2018
"7","Coletivo",43,438,262,0,"Cazumba",2018
"8","Coletivo",40,366,1199,0,"Cazumba",2018
"9","Coletivo",110,338,119,0,"Cazumba",2018
"10","Coletivo",109,242,0,0,"Cazumba",2018
"11","Coletivo",117,302,120,1,"Cazumba",2018
"12","Coletivo",137,351,38,0,"Cazumba",2018
"13","Coletivo",141,241,239,1,"Cazumba",2018
"14","Coletivo",139,368,21,0,"Cazumba",2018
"15","Coletivo",149,470,297,2,"Cazumba",2018
"16","Coletivo",157,560,420,0,"Cazumba",2018
"17","Coletivo",165,312,73,4,"Cazumba",2018
"18","Coletivo",174,333,3,0,"Cazumba",2018
"19","Coletivo",7,509,385,5,"Cazumba",2018
"20","Coletivo",9,327,112,0,"Cazumba",2018
"21","Coletivo",11,158,22,0,"Cazumba",2018
"22","Coletivo",19,308,21,0,"Cazumba",2018
"23","Coletivo",17,430,146,0,"Cazumba",2018
"24","Coletivo",21,437,458,0,"Cazumba",2018
"25","Coletivo",26,452,312,0,"Cazumba",2018
"26","Coletivo",81,380,303,1,"Cazumba",2018
"27","Coletivo",82,317,477,0,"Cazumba",2018
"28","Coletivo",92,310,218,0,"Cazumba",2018
"29","Coletivo",89,509,108,16,"Cazumba",2018
"30","Coletivo",118,460,21,0,"Cazumba",2018
"31","Coletivo",119,253,1,0,"Cazumba",2018
"32","Coletivo",120,349,62,0,"Cazumba",2018
"33","Coletivo",175,640,159,0,"Cazumba",2018
"34","Coletivo",186,514,948,0,"Cazumba",2018
"35","Coletivo",182,506,81,1,"Cazumba",2018
"36","Coletivo",180,443,7,0,"Cazumba",2018
"37","Coletivo",192,456,806,0,"Cazumba",2018
"38","Coletivo",198,277,150,0,"Cazumba",2018
"39","Coletivo",199,535,1348,0,"Cazumba",2018
"40","Davi",285,417,136,10,"Cazumba",2018
"41","Davi",317,330,6,1,"Cazumba",2018
"42","Davi",312,448,79,0,"Cazumba",2018
"43","Davi",315,311,2,0,"Cazumba",2018
"44","Davi",308,307,105,2,"Cazumba",2018
"45","Davi",361,414,711,0,"Cazumba",2018
"46","Davi",359,263,79,0,"Cazumba",2018
"47","Davi",360,319,9,0,"Cazumba",2018
"48","Davi",354,459,149,0,"Cazumba",2018
"49","Davi",339,407,10,0,"Cazumba",2018
"50","Davi",290,519,411,2,"Cazumba",2018
"51","Davi",297,510,2,0,"Cazumba",2018
"52","Davi",327,623,248,0,"Cazumba",2018
"53","Davi",325,361,12,0,"Cazumba",2018
"54","Davi",322,237,58,3,"Cazumba",2018
"55","Davi",320,551,81,0,"Cazumba",2018
"56","Davi",475,395,162,0,"Cazumba",2018
"57","Davi",476,504,567,3,"Cazumba",2018
"58","Mariazinha",230,356,344,1,"Cazumba",2018
"59","Mariazinha",227,332,231,0,"Cazumba",2018
"60","Mariazinha",217,260,296,1,"Cazumba",2018
"61","Mariazinha",222,460,448,1,"Cazumba",2018
"62","Mariazinha",245,463,800,3,"Cazumba",2018
"63","Mariazinha",233,417,111,1,"Cazumba",2018
"64","Mariazinha",241,212,54,0,"Cazumba",2018
"65","Mariazinha",253,256,33,0,"Cazumba",2018
"66","Mariazinha",273,654,99,0,"Cazumba",2018
"67","Mariazinha",280,488,28,0,"Cazumba",2018
"68","Mariazinha",265,196,134,0,"Cazumba",2018
"69","Mariazinha",256,405,260,0,"Cazumba",2018
"70","Mariazinha",251,554,186,0,"Cazumba",2018
"71","Mariazinha",246,635,480,0,"Cazumba",2018
"72","Zirmao",415,274,408,1,"Cazumba",2018
"73","Zirmao",423,659,199,1,"Cazumba",2018
"74","Zirmao",432,449,1119,0,"Cazumba",2018
"75","Zirmao",436,544,189,1,"Cazumba",2018
"76","Zirmao",438,180,0,0,"Cazumba",2018
"77","Zirmao",437,221,97,6,"Cazumba",2018
"78","Zirmao",447,290,163,0,"Cazumba",2018
"79","Zirmao",450,475,253,1,"Cazumba",2018
"80","Zirmao",453,420,466,0,"Cazumba",2018
"81","Zirmao",460,250,172,0,"Cazumba",2018
"82","Zirmao",461,349,206,0,"Cazumba",2018
"83","Zirmao",467,390,240,0,"Cazumba",2018
"84","Zirmao",475,395,162,0,"Cazumba",2018
"85","Zirmao",476,504,567,3,"Cazumba",2018
"86","Zirmao",478,393,258,0,"Cazumba",2018
"87","Zirmao",481,475,462,0,"Cazumba",2018
"88","Zirmao",497,172,0,0,"Cazumba",2018
"89","Zirmao",405,201,191,0,"Cazumba",2018
"90","Coletivo",57,290,238,0,"Cazumba",2019
"91","Coletivo",55,267,83,0,"Cazumba",2019
"92","Coletivo",54,444,214,0,"Cazumba",2019
"93","Coletivo",51,187,134,3,"Cazumba",2019
"94","Coletivo",46,338,18,0,"Cazumba",2019
"95","Coletivo",44,497,10,0,"Cazumba",2019
"96","Coletivo",43,437,315,0,"Cazumba",2019
"97","Coletivo",40,370,416,0,"Cazumba",2019
"98","Coletivo",110,335,298,1,"Cazumba",2019
