Castanhal;n_arvore;n_do_ourico;n_de_sementes_por_fruto_ourico;Peso_total_das_sementes_dos_10 frutos_ouricos_Kg;UC;Ano
Zirmao;432;1;22;1.624;Cazumba;2018
Zirmao;432;2;23;;Cazumba;2018
Zirmao;432;3;23;;Cazumba;2018
Zirmao;432;4;23;;Cazumba;2018
Zirmao;432;5;20;;Cazumba;2018
Zirmao;432;6;24;;Cazumba;2018
Zirmao;432;7;26;;Cazumba;2018
Zirmao;432;8;25;;Cazumba;2018
Zirmao;432;9;20;;Cazumba;2018
Zirmao;432;10;23;;Cazumba;2018
Zirmao;415;1;15;1.934;Cazumba;2018
Zirmao;415;2;21;;Cazumba;2018
Zirmao;415;3;22;;Cazumba;2018
Zirmao;415;4;20;;Cazumba;2018
Zirmao;415;5;27;;Cazumba;2018
Zirmao;415;6;31;;Cazumba;2018
Zirmao;415;7;16;;Cazumba;2018
Zirmao;415;8;19;;Cazumba;2018
Zirmao;415;9;24;;Cazumba;2018
Zirmao;415;10;25;;Cazumba;2018
Zirmao;437;1;21;1.444;Cazumba;2018
Zirmao;437;2;15;;Cazumba;2018
Zirmao;437;3;16;;Cazumba;2018
Zirmao;437;4;17;;Cazumba;2018
Zirmao;437;5;12;;Cazumba;2018
Zirmao;437;6;18;;Cazumba;2018
Zirmao;437;7;19;;Cazumba;2018
Zirmao;437;8;18;;Cazumba;2018
Zirmao;437;9;18;;Cazumba;2018
Zirmao;437;10;21;;Cazumba;2018
Zirmao;453;1;21;1500;Cazumba;2018
Zirmao;453;2;23;;Cazumba;2018
Zirmao;453;3;22;;Cazumba;2018
Zirmao;453;4;21;;Cazumba;2018
Zirmao;453;5;17;;Cazumba;2018
Zirmao;453;6;19;;Cazumba;2018
Zirmao;453;7;17;;Cazumba;2018
Zirmao;453;8;22;;Cazumba;2018
Zirmao;453;9;22;;Cazumba;2018
Zirmao;453;10;16;;Cazumba;2018
Zirmao;423;1;19;1.446;Cazumba;2018
Zirmao;423;2;16;;Cazumba;2018
Zirmao;423;3;18;;Cazumba;2018
Zirmao;423;4;19;;Cazumba;2018
Zirmao;423;5;17;;Cazumba;2018
Zirmao;423;6;18;;Cazumba;2018
Zirmao;423;7;10;;Cazumba;2018
Zirmao;423;8;19;;Cazumba;2018
Zirmao;423;9;17;;Cazumba;2018
Zirmao;423;10;21;;Cazumba;2018
Coletivo;57;1;16;1.668;Cazumba;2018
Coletivo;57;2;20;;Cazumba;2018
Coletivo;57;3;21;;Cazumba;2018
Coletivo;57;4;21;;Cazumba;2018
Coletivo;57;5;22;;Cazumba;2018
Coletivo;57;6;22;;Cazumba;2018
Coletivo;57;7;12;;Cazumba;2018
Coletivo;57;8;21;;Cazumba;2018
Coletivo;57;9;21;;Cazumba;2018
Coletivo;57;10;18;;Cazumba;2018
Coletivo;44;1;13;1490;Cazumba;2018
Coletivo;44;2;20;;Cazumba;2018
Coletivo;44;3;18;;Cazumba;2018
Coletivo;44;4;20;;Cazumba;2018
Coletivo;44;5;18;;Cazumba;2018
Coletivo;44;6;20;;Cazumba;2018
Coletivo;44;7;17;;Cazumba;2018
Coletivo;44;8;16;;Cazumba;2018
Coletivo;44;9;18;;Cazumba;2018
Coletivo;44;10;15;;Cazumba;2018
Coletivo;46;1;17;1490;Cazumba;2018
Coletivo;46;2;17;;Cazumba;2018
Coletivo;46;3;20;;Cazumba;2018
Coletivo;46;4;15;;Cazumba;2018
Coletivo;46;5;20;;Cazumba;2018
Coletivo;46;6;14;;Cazumba;2018
Coletivo;46;7;19;;Cazumba;2018
Coletivo;46;8;13;;Cazumba;2018
Coletivo;46;9;23;;Cazumba;2018
Coletivo;46;10;16;;Cazumba;2018
Coletivo;54;1;20;1.384;Cazumba;2018
Coletivo;54;2;17;;Cazumba;2018
Coletivo;54;3;16;;Cazumba;2018
Coletivo;54;4;14;;Cazumba;2018
Coletivo;54;5;21;;Cazumba;2018
Coletivo;54;6;17;;Cazumba;2018
Coletivo;54;7;19;;Cazumba;2018
Coletivo;54;8;22;;Cazumba;2018
Coletivo;54;9;17;;Cazumba;2018
Coletivo;54;10;19;;Cazumba;2018
Coletivo;165;1;20;938;Cazumba;2018
Coletivo;165;2;15;;Cazumba;2018
Coletivo;165;3;19;;Cazumba;2018
Coletivo;165;4;9;;Cazumba;2018
Coletivo;165;5;10;;Cazumba;2018
Coletivo;165;6;19;;Cazumba;2018
Coletivo;165;7;9;;Cazumba;2018
Coletivo;165;8;8;;Cazumba;2018
Coletivo;165;9;15;;Cazumba;2018
Coletivo;165;10;15;;Cazumba;2018
Davi;327;1;22;2.488;Cazumba;2018
Davi;327;2;17;;Cazumba;2018
Davi;327;3;18;;Cazumba;2018
Davi;327;4;18;;Cazumba;2018
Davi;327;5;25;;Cazumba;2018
Davi;327;6;25;;Cazumba;2018
Davi;327;7;21;;Cazumba;2018
Davi;327;8;23;;Cazumba;2018
Davi;327;9;23;;Cazumba;2018
Davi;327;10;20;;Cazumba;2018
Davi;322;1;19;1.446;Cazumba;2018
Davi;322;2;16;;Cazumba;2018
Davi;322;3;20;;Cazumba;2018
Davi;322;4;17;;Cazumba;2018
Davi;322;5;14;;Cazumba;2018
Davi;322;6;17;;Cazumba;2018
Davi;322;7;21;;Cazumba;2018
Davi;322;8;20;;Cazumba;2018
Davi;322;9;23;;Cazumba;2018
Davi;322;10;22;;Cazumba;2018
Davi;285;1;20;1800;Cazumba;2018
Davi;285;2;17;;Cazumba;2018
Davi;285;3;17;;Cazumba;2018
Davi;285;4;22;;Cazumba;2018
Davi;285;5;21;;Cazumba;2018
Davi;285;6;20;;Cazumba;2018
Davi;285;7;18;;Cazumba;2018
Davi;285;8;19;;Cazumba;2018
Davi;285;9;25;;Cazumba;2018
