"","Castanhal","n_arvore","n_do_ourico","n_de_sementes_por_fruto_ourico","Peso_total_das_sementes_dos_10.frutos_ouricos_Kg","UC","Ano"
"1","Zirmao",432,1,22,1624,"Cazumba",2018
"2","Zirmao",432,2,23,NA,"Cazumba",2018
"3","Zirmao",432,3,23,NA,"Cazumba",2018
"4","Zirmao",432,4,23,NA,"Cazumba",2018
"5","Zirmao",432,5,20,NA,"Cazumba",2018
"6","Zirmao",432,6,24,NA,"Cazumba",2018
"7","Zirmao",432,7,26,NA,"Cazumba",2018
"8","Zirmao",432,8,25,NA,"Cazumba",2018
"9","Zirmao",432,9,20,NA,"Cazumba",2018
"10","Zirmao",432,10,23,NA,"Cazumba",2018
"11","Zirmao",415,1,15,1934,"Cazumba",2018
"12","Zirmao",415,2,21,NA,"Cazumba",2018
"13","Zirmao",415,3,22,NA,"Cazumba",2018
"14","Zirmao",415,4,20,NA,"Cazumba",2018
"15","Zirmao",415,5,27,NA,"Cazumba",2018
"16","Zirmao",415,6,31,NA,"Cazumba",2018
"17","Zirmao",415,7,16,NA,"Cazumba",2018
"18","Zirmao",415,8,19,NA,"Cazumba",2018
"19","Zirmao",415,9,24,NA,"Cazumba",2018
"20","Zirmao",415,10,25,NA,"Cazumba",2018
"21","Zirmao",437,1,21,1444,"Cazumba",2018
"22","Zirmao",437,2,15,NA,"Cazumba",2018
"23","Zirmao",437,3,16,NA,"Cazumba",2018
"24","Zirmao",437,4,17,NA,"Cazumba",2018
"25","Zirmao",437,5,12,NA,"Cazumba",2018
"26","Zirmao",437,6,18,NA,"Cazumba",2018
"27","Zirmao",437,7,19,NA,"Cazumba",2018
"28","Zirmao",437,8,18,NA,"Cazumba",2018
"29","Zirmao",437,9,18,NA,"Cazumba",2018
"30","Zirmao",437,10,21,NA,"Cazumba",2018
"31","Zirmao",453,1,21,1500,"Cazumba",2018
"32","Zirmao",453,2,23,NA,"Cazumba",2018
"33","Zirmao",453,3,22,NA,"Cazumba",2018
"34","Zirmao",453,4,21,NA,"Cazumba",2018
"35","Zirmao",453,5,17,NA,"Cazumba",2018
"36","Zirmao",453,6,19,NA,"Cazumba",2018
"37","Zirmao",453,7,17,NA,"Cazumba",2018
"38","Zirmao",453,8,22,NA,"Cazumba",2018
"39","Zirmao",453,9,22,NA,"Cazumba",2018
"40","Zirmao",453,10,16,NA,"Cazumba",2018
"41","Zirmao",423,1,19,1446,"Cazumba",2018
"42","Zirmao",423,2,16,NA,"Cazumba",2018
"43","Zirmao",423,3,18,NA,"Cazumba",2018
"44","Zirmao",423,4,19,NA,"Cazumba",2018
"45","Zirmao",423,5,17,NA,"Cazumba",2018
"46","Zirmao",423,6,18,NA,"Cazumba",2018
"47","Zirmao",423,7,10,NA,"Cazumba",2018
"48","Zirmao",423,8,19,NA,"Cazumba",2018
"49","Zirmao",423,9,17,NA,"Cazumba",2018
"50","Zirmao",423,10,21,NA,"Cazumba",2018
"51","Coletivo",57,1,16,1668,"Cazumba",2018
"52","Coletivo",57,2,20,NA,"Cazumba",2018
"53","Coletivo",57,3,21,NA,"Cazumba",2018
"54","Coletivo",57,4,21,NA,"Cazumba",2018
"55","Coletivo",57,5,22,NA,"Cazumba",2018
"56","Coletivo",57,6,22,NA,"Cazumba",2018
"57","Coletivo",57,7,12,NA,"Cazumba",2018
"58","Coletivo",57,8,21,NA,"Cazumba",2018
"59","Coletivo",57,9,21,NA,"Cazumba",2018
"60","Coletivo",57,10,18,NA,"Cazumba",2018
"61","Coletivo",44,1,13,1490,"Cazumba",2018
"62","Coletivo",44,2,20,NA,"Cazumba",2018
"63","Coletivo",44,3,18,NA,"Cazumba",2018
"64","Coletivo",44,4,20,NA,"Cazumba",2018
"65","Coletivo",44,5,18,NA,"Cazumba",2018
"66","Coletivo",44,6,20,NA,"Cazumba",2018
"67","Coletivo",44,7,17,NA,"Cazumba",2018
"68","Coletivo",44,8,16,NA,"Cazumba",2018
"69","Coletivo",44,9,18,NA,"Cazumba",2018
"70","Coletivo",44,10,15,NA,"Cazumba",2018
"71","Coletivo",46,1,17,1490,"Cazumba",2018
"72","Coletivo",46,2,17,NA,"Cazumba",2018
"73","Coletivo",46,3,20,NA,"Cazumba",2018
"74","Coletivo",46,4,15,NA,"Cazumba",2018
"75","Coletivo",46,5,20,NA,"Cazumba",2018
"76","Coletivo",46,6,14,NA,"Cazumba",2018
"77","Coletivo",46,7,19,NA,"Cazumba",2018
"78","Coletivo",46,8,13,NA,"Cazumba",2018
"79","Coletivo",46,9,23,NA,"Cazumba",2018
"80","Coletivo",46,10,16,NA,"Cazumba",2018
"81","Coletivo",54,1,20,1384,"Cazumba",2018
"82","Coletivo",54,2,17,NA,"Cazumba",2018
"83","Coletivo",54,3,16,NA,"Cazumba",2018
"84","Coletivo",54,4,14,NA,"Cazumba",2018
"85","Coletivo",54,5,21,NA,"Cazumba",2018
"86","Coletivo",54,6,17,NA,"Cazumba",2018
"87","Coletivo",54,7,19,NA,"Cazumba",2018
"88","Coletivo",54,8,22,NA,"Cazumba",2018
"89","Coletivo",54,9,17,NA,"Cazumba",2018
"90","Coletivo",54,10,19,NA,"Cazumba",2018
"91","Coletivo",165,1,20,938,"Cazumba",2018
"92","Coletivo",165,2,15,NA,"Cazumba",2018
"93","Coletivo",165,3,19,NA,"Cazumba",2018
"94","Coletivo",165,4,9,NA,"Cazumba",2018
"95","Coletivo",165,5,10,NA,"Cazumba",2018
"96","Coletivo",165,6,19,NA,"Cazumba",2018
"97","Coletivo",165,7,9,NA,"Cazumba",2018
"98","Coletivo",165,8,8,NA,"Cazumba",2018
"99","Coletivo",165,9,15,NA,"Cazumba",2018
"100","Coletivo",165,10,15,NA,"Cazumba",2018
"101","Davi",327,1,22,2488,"Cazumba",2018
"102","Davi",327,2,17,NA,"Cazumba",2018
"103","Davi",327,3,18,NA,"Cazumba",2018
"104","Davi",327,4,18,NA,"Cazumba",2018
"105","Davi",327,5,25,NA,"Cazumba",2018
"106","Davi",327,6,25,NA,"Cazumba",2018
"107","Davi",327,7,21,NA,"Cazumba",2018
"108","Davi",327,8,23,NA,"Cazumba",2018
"109","Davi",327,9,23,NA,"Cazumba",2018
"110","Davi",327,10,20,NA,"Cazumba",2018
"111","Davi",322,1,19,1446,"Cazumba",2018
"112","Davi",322,2,16,NA,"Cazumba",2018
"113","Davi",322,3,20,NA,"Cazumba",2018
"114","Davi",322,4,17,NA,"Cazumba",2018
"115","Davi",322,5,14,NA,"Cazumba",2018
"116","Davi",322,6,17,NA,"Cazumba",2018
"117","Davi",322,7,21,NA,"Cazumba",2018
"118","Davi",322,8,20,NA,"Cazumba",2018
"119","Davi",322,9,23,NA,"Cazumba",2018
"120","Davi",322,10,22,NA,"Cazumba",2018
"121","Davi",285,1,20,1800,"Cazumba",2018
"122","Davi",285,2,17,NA,"Cazumba",2018
"123","Davi",285,3,17,NA,"Cazumba",2018
"124","Davi",285,4,22,NA,"Cazumba",2018
"125","Davi",285,5,21,NA,"Cazumba",2018
"126","Davi",285,6,20,NA,"Cazumba",2018
"127","Davi",285,7,18,NA,"Cazumba",2018
"128","Davi",285,8,19,NA,"Cazumba",2018
"129","Davi",285,9,25,NA,"Cazumba",2018
"130","Davi",285,10,21,NA,"Cazumba",2018
"131","Davi",312,1,19,1386,"Cazumba",2018
"132","Davi",312,2,23,NA,"Cazumba",2018
"133","Davi",312,3,17,NA,"Cazumba",2018
"134","Davi",312,4,17,NA,"Cazumba",2018
"135","Davi",312,5,21,NA,"Cazumba",2018
"136","Davi",312,6,15,NA,"Cazumba",2018
"137","Davi",312,7,21,NA,"Cazumba",2018
"138","Davi",312,8,19,NA,"Cazumba",2018
"139","Davi",312,9,17,NA,"Cazumba",2018
"140","Davi",312,10,17,NA,"Cazumba",2018
"141","Davi",361,1,17,1862,"Cazumba",2018
"142","Davi",361,2,19,NA,"Cazumba",2018
"143","Davi",361,3,19,NA,"Cazumba",2018
"144","Davi",361,4,32,NA,"Cazumba",2018
"145","Davi",361,5,17,NA,"Cazumba",2018
"146","Davi",361,6,17,NA,"Cazumba",2018
"147","Davi",361,7,20,NA,"Cazumba",2018
"148","Davi",361,8,22,NA,"Cazumba",2018
"149","Davi",361,9,20,NA,"Cazumba",2018
"150","Davi",361,10,20,NA,"Cazumba",2018
"151","Mariazinha",227,1,14,1106,"Cazumba",2018
"152","Mariazinha",227,2,10,NA,"Cazumba",2018
"153","Mariazinha",227,3,17,NA,"Cazumba",2018
"154","Mariazinha",227,4,14,NA,"Cazumba",2018
"155","Mariazinha",227,5,15,NA,"Cazumba",2018
"156","Mariazinha",227,6,16,NA,"Cazumba",2018
"157","Mariazinha",227,7,17,NA,"Cazumba",2018
"158","Mariazinha",227,8,18,NA,"Cazumba",2018
"159","Mariazinha",227,9,17,NA,"Cazumba",2018
"160","Mariazinha",227,10,20,NA,"Cazumba",2018
"161","Mariazinha",230,1,22,1944,"Cazumba",2018
"162","Mariazinha",230,2,20,NA,"Cazumba",2018
"163","Mariazinha",230,3,18,NA,"Cazumba",2018
"164","Mariazinha",230,4,18,NA,"Cazumba",2018
"165","Mariazinha",230,5,21,NA,"Cazumba",2018
"166","Mariazinha",230,6,19,NA,"Cazumba",2018
"167","Mariazinha",230,7,20,NA,"Cazumba",2018
"168","Mariazinha",230,8,15,NA,"Cazumba",2018
"169","Mariazinha",230,9,17,NA,"Cazumba",2018
"170","Mariazinha",230,10,16,NA,"Cazumba",2018
"171","Mariazinha",217,1,24,1976,"Cazumba",2018
"172","Mariazinha",217,2,23,NA,"Cazumba",2018
"173","Mariazinha",217,3,24,NA,"Cazumba",2018
"174","Mariazinha",217,4,19,NA,"Cazumba",2018
"175","Mariazinha",217,5,22,NA,"Cazumba",2018
"176","Mariazinha",217,6,20,NA,"Cazumba",2018
"177","Mariazinha",217,7,24,NA,"Cazumba",2018
"178","Mariazinha",217,8,21,NA,"Cazumba",2018
"179","Mariazinha",217,9,20,NA,"Cazumba",2018
"180","Mariazinha",217,10,22,NA,"Cazumba",2018
"181","Mariazinha",222,1,12,1964,"Cazumba",2018
"182","Mariazinha",222,2,19,NA,"Cazumba",2018
"183","Mariazinha",222,3,17,NA,"Cazumba",2018
"184","Mariazinha",222,4,12,NA,"Cazumba",2018
"185","Mariazinha",222,5,16,NA,"Cazumba",2018
"186","Mariazinha",222,6,21,NA,"Cazumba",2018
"187","Mariazinha",222,7,16,NA,"Cazumba",2018
"188","Mariazinha",222,8,20,NA,"Cazumba",2018
"189","Mariazinha",222,9,21,NA,"Cazumba",2018
"190","Mariazinha",222,10,18,NA,"Cazumba",2018
"191","Mariazinha",246,1,19,1904,"Cazumba",2018
"192","Mariazinha",246,2,20,NA,"Cazumba",2018
"193","Mariazinha",246,3,20,NA,"Cazumba",2018
"194","Mariazinha",246,4,16,NA,"Cazumba",2018
"195","Mariazinha",246,5,18,NA,"Cazumba",2018
"196","Mariazinha",246,6,18,NA,"Cazumba",2018
