"","tamanho","Castanhal","n"
"1","adulto","Coletivo",22
"2","adulto","Davi",10
"3","adulto","Dimar",1
"4","adulto","Irmãos Gamas",4
"5","adulto","Mariazinha",6
"6","adulto","Marizan",3
"7","adulto","Zequinha",10
"8","adulto","Zirmão",7
"9","adulto","Zirmão 2",12
"10","adulto-senescente","Coletivo",7
"11","adulto-senescente","Davi",5
"12","adulto-senescente","Dimar",1
"13","adulto-senescente","Irmãos Gamas",1
"14","adulto-senescente","Mariazinha",3
"15","adulto-senescente","Zequinha",3
"16","adulto-senescente","Zirmão",3
"17","adulto-senescente","Zirmão 2",4
"18","jovem","Coletivo",1
"19","jovem-adulto","Coletivo",10
"20","jovem-adulto","Davi",4
"21","jovem-adulto","Dimar",1
"22","jovem-adulto","Irmãos Gamas",3
"23","jovem-adulto","Mariazinha",4
"24","jovem-adulto","Marizan",1
"25","jovem-adulto","Zequinha",11
"26","jovem-adulto","Zirmão",7
"27","jovem-adulto","Zirmão 2",5
"28","senescente","Coletivo",1
"29","senescente","Mariazinha",1
"30","senescente","Marizan",1
"31","senescente","Zequinha",1
"32","senescente","Zirmão",1
"33","senescente","Zirmão 2",1
