"","id","Castanhal.x","tamanho.x","Ano.x","total_frutos","Castanhal.y","tamanho.y","Ano.y","total_sementes","media_sementes","peso_total","peso_semente","producaoTotal"
"1","Coletivo adulto-senescente 2018","Coletivo","adulto-senescente",2018,4087,"Coletivo","adulto-senescente",2018,175,17.5,1.49,0.00851428571428571,608.963
"2","Coletivo adulto-senescente 2019","Coletivo","adulto-senescente",2019,2794,"Coletivo","adulto-senescente",2019,217,21.7,2.169,0.00999539170506912,606.0186
"3","Coletivo adulto-senescente 2020","Coletivo","adulto-senescente",2020,3234,"Coletivo","adulto-senescente",2020,180,18,1.513,0.00840555555555556,489.3042
"4","Coletivo adulto-senescente 2021","Coletivo","adulto-senescente",2021,1132,NA,NA,NA,NA,NA,NA,NA,NA
"5","Coletivo adulto 2018","Coletivo","adulto",2018,5900,"Coletivo","adulto",2018,495,16.5,3.812,0.0077010101010101,749.693333333333
"6","Coletivo adulto 2019","Coletivo","adulto",2019,6087,"Coletivo","adulto",2019,362,12.0666666666667,2.624,0.00724861878453039,532.4096
"7","Coletivo adulto 2020","Coletivo","adulto",2020,6318,"Coletivo","adulto",2020,573,19.1,4.06,0.00708551483420593,855.036
"8","Coletivo adulto 2021","Coletivo","adulto",2021,4678,NA,NA,NA,NA,NA,NA,NA,NA
"9","Coletivo jovem-adulto 2018","Coletivo","jovem-adulto",2018,1055,"Coletivo","jovem-adulto",2018,194,19.4,1.668,0.0085979381443299,175.974
"10","Coletivo jovem-adulto 2019","Coletivo","jovem-adulto",2019,1670,"Coletivo","jovem-adulto",2019,175,17.5,1.42,0.00811428571428571,237.14
"11","Coletivo jovem-adulto 2020","Coletivo","jovem-adulto",2020,1285,"Coletivo","jovem-adulto",2020,157,15.7,1.159,0.00738216560509554,148.9315
"12","Coletivo jovem-adulto 2021","Coletivo","jovem-adulto",2021,1224,"Coletivo","jovem-adulto",2021,0,NA,0,NA,NA
"13","Coletivo jovem 2018","Coletivo","jovem",2018,22,NA,NA,NA,NA,NA,NA,NA,NA
"14","Coletivo jovem 2019","Coletivo","jovem",2019,7,NA,NA,NA,NA,NA,NA,NA,NA
"15","Coletivo jovem 2020","Coletivo","jovem",2020,65,NA,NA,NA,NA,NA,NA,NA,NA
"16","Coletivo jovem 2021","Coletivo","jovem",2021,24,NA,NA,NA,NA,NA,NA,NA,NA
"17","Coletivo senescente 2018","Coletivo","senescente",2018,159,NA,NA,NA,NA,NA,NA,NA,NA
"18","Coletivo senescente 2019","Coletivo","senescente",2019,121,NA,NA,NA,NA,NA,NA,NA,NA
"19","Coletivo senescente 2020","Coletivo","senescente",2020,216,NA,NA,NA,NA,NA,NA,NA,NA
"20","Coletivo senescente 2021","Coletivo","senescente",2021,312,NA,NA,NA,NA,NA,NA,NA,NA
"21","Davi adulto-senescente 2018","Davi","adulto-senescente",2018,1309,"Davi","adulto-senescente",2018,212,21.2,2.488,0.0117358490566038,325.6792
"22","Davi adulto-senescente 2019","Davi","adulto-senescente",2019,861,"Davi","adulto-senescente",2019,176,17.6,2.2,0.0125,189.42
"23","Davi adulto-senescente 2020","Davi","adulto-senescente",2020,684,"Davi","adulto-senescente",2020,196,19.6,2.3,0.011734693877551,157.32
"24","Davi adulto-senescente 2021","Davi","adulto-senescente",2021,1135,"Davi","adulto-senescente",2021,0,NA,0,NA,NA
"25","Davi adulto 2018","Davi","adulto",2018,1274,"Davi","adulto",2018,589,19.6333333333333,5.048,0.0085704584040747,214.371733333333
"26","Davi adulto 2019","Davi","adulto",2019,1284,"Davi","adulto",2019,356,17.8,3.4,0.00955056179775281,218.28
"27","Davi adulto 2020","Davi","adulto",2020,1562,"Davi","adulto",2020,355,17.75,3.1,0.00873239436619718,242.11
