"","Castanhal","Ano","total_sementes","media_sementes","peso_total","peso_semente"
"1","Coletivo",2018,864,17.28,3921.052,4.53825462962963
"2","Coletivo",2019,754,15.08,1424.793,1.88964588859416
"3","Coletivo",2020,910,18.2,6.732,0.0073978021978022
"4","Davi",2018,990,19.8,1807.182,1.82543636363636
"5","Davi",2019,916,18.32,9,0.00982532751091703
"6","Davi",2020,902,18.04,8500,9.42350332594235
"7","Dimar",2019,998,19.96,8.15,0.00816633266533066
"8","Dimar",2020,764,19.1,1773.698,2.3215942408377
"9","Irmaos Gamas",2019,992,19.84,7.5,0.00756048387096774
"10","Irmaos Gamas",2020,1006,20.12,6400,6.36182902584493
"11","Mariazinha",2018,921,18.42,8.894,0.00965689467969598
"12","Mariazinha",2019,879,17.58,9.485,0.0107906712172924
"13","Mariazinha",2020,914,18.28,6671.735,7.29949124726477
"14","Marizan",2019,1064,21.28,8.875,0.00834116541353383
"15","Marizan",2020,1072,21.44,8700,8.11567164179104
"16","Zequinha",2019,702,14.04,7.003,0.00997578347578348
"17","Zequinha",2020,710,18.2051282051282,7500,10.5633802816901
"18","Zirmao",2018,998,19.96,1506.448,1.50946693386774
"19","Zirmao",2019,995,19.9,8.96,0.00900502512562814
"20","Zirmao",2020,1054,21.08,2156.95,2.04644212523719
"21","Zirmao 2",2019,924,18.48,8.365,0.0090530303030303
"22","Zirmao 2",2020,941,18.82,1655.9,1.75972369819341
