"","Castanhal","tamanho","Ano","total_sementes","media_sementes","peso_total","peso_semente"
"1","Coletivo","adulto",2018,495,16.5,3.812,0.0077010101010101
"2","Coletivo","adulto",2019,362,12.0666666666667,2.624,0.00724861878453039
"3","Coletivo","adulto",2020,573,19.1,4.06,0.00708551483420593
"4","Coletivo","adulto-senescente",2018,175,17.5,1.49,0.00851428571428571
"5","Coletivo","adulto-senescente",2019,217,21.7,2.169,0.00999539170506912
"6","Coletivo","adulto-senescente",2020,180,18,1.513,0.00840555555555556
"7","Coletivo","jovem-adulto",2018,194,19.4,1.668,0.0085979381443299
"8","Coletivo","jovem-adulto",2019,175,17.5,1.42,0.00811428571428571
"9","Coletivo","jovem-adulto",2020,157,15.7,1.159,0.00738216560509554
"10","Davi","adulto",2018,589,19.6333333333333,5.048,0.0085704584040747
"11","Davi","adulto",2019,356,17.8,3.4,0.00955056179775281
"12","Davi","adulto",2020,355,17.75,3.1,0.00873239436619718
"13","Davi","adulto-senescente",2018,212,21.2,2.488,0.0117358490566038
"14","Davi","adulto-senescente",2019,176,17.6,2.2,0.0125
"15","Davi","adulto-senescente",2020,196,19.6,2.3,0.011734693877551
"16","Davi","jovem-adulto",2018,189,18.9,1.446,0.00765079365079365
"17","Davi","jovem-adulto",2019,182,18.2,1.4,0.00769230769230769
"18","Davi","jovem-adulto",2020,175,17.5,1.4,0.008
"19","Dimar","adulto",2019,189,18.9,1.025,0.00542328042328042
"20","Dimar","adulto",2020,190,19,1.038,0.00546315789473684
"21","Dimar","adulto-senescente",2019,385,19.25,3.325,0.00863636363636364
"22","Dimar","adulto-senescente",2020,383,19.15,3.124,0.00815665796344647
"23","Dimar","jovem-adulto",2019,199,19.9,1.75,0.00879396984924623
"24","Dimar","jovem-adulto",2020,191,19.1,1.306,0.00683769633507853
"25","Dimar","senescente",2019,225,22.5,2.05,0.00911111111111111
"26","Dimar","senescente",2020,0,NA,0,NA
"27","Irmaos Gamas","adulto",2019,397,19.85,2.75,0.00692695214105793
"28","Irmaos Gamas","adulto",2020,390,19.5,2.4,0.00615384615384615
"29","Irmaos Gamas","adulto-senescente",2019,244,24.4,2,0.00819672131147541
"30","Irmaos Gamas","adulto-senescente",2020,254,25.4,1.6,0.0062992125984252
"31","Irmaos Gamas","jovem-adulto",2019,351,17.55,2.75,0.00783475783475784
"32","Irmaos Gamas","jovem-adulto",2020,362,18.1,2.4,0.00662983425414365
"33","Mariazinha","adulto",2018,516,17.2,5.014,0.00971705426356589
"34","Mariazinha","adulto",2019,492,16.4,5.385,0.0109451219512195
"35","Mariazinha","adulto",2020,505,16.8333333333333,4.86,0.00962376237623762
"36","Mariazinha","adulto-senescente",2018,186,18.6,1.904,0.0102365591397849
"37","Mariazinha","adulto-senescente",2019,160,16,1.97,0.0123125
"38","Mariazinha","adulto-senescente",2020,190,19,1.735,0.00913157894736842
"39","Mariazinha","jovem-adulto",2018,219,21.9,1.976,0.00902283105022831
"40","Mariazinha","jovem-adulto",2019,227,22.7,2.13,0.00938325991189427
"41","Mariazinha","jovem-adulto",2020,219,21.9,1.81,0.0082648401826484
"42","Marizan","adulto",2019,616,20.5333333333333,5.425,0.00880681818181818
"43","Marizan","adulto",2020,594,19.8,5,0.00841750841750842
"44","Marizan","jovem-adulto",2019,253,25.3,1.75,0.00691699604743083
"45","Marizan","jovem-adulto",2020,271,27.1,2,0.00738007380073801
"46","Marizan","senescente",2019,195,19.5,1.7,0.00871794871794872
"47","Marizan","senescente",2020,207,20.7,1.7,0.00821256038647343
"48","Zequinha","adulto",2019,336,16.8,3.503,0.0104255952380952
"49","Zequinha","adulto",2020,382,20.1052631578947,3.9,0.0102094240837696
"50","Zequinha","adulto-senescente",2019,175,17.5,1.75,0.01
"51","Zequinha","adulto-senescente",2020,163,16.3,1.8,0.0110429447852761
"52","Zequinha","jovem-adulto",2019,191,9.55,1.75,0.00916230366492147
"53","Zequinha","jovem-adulto",2020,165,16.5,1.8,0.0109090909090909
"54","Zirmao","adulto",2018,429,21.45,3.124,0.00728205128205128
"55","Zirmao","adulto",2019,419,20.95,3.82,0.00911694510739857
"56","Zirmao","adulto",2020,444,22.2,3.795,0.0085472972972973
"57","Zirmao","jovem-adulto",2018,395,19.75,3.378,0.00855189873417722
"58","Zirmao","jovem-adulto",2019,391,19.55,3.54,0.0090537084398977
"59","Zirmao","jovem-adulto",2020,446,22.3,3.97,0.00890134529147982
"60","Zirmao","senescente",2018,174,17.4,1.446,0.00831034482758621
"61","Zirmao","senescente",2019,185,18.5,1.6,0.00864864864864865
"62","Zirmao","senescente",2020,164,16.4,1.335,0.00814024390243902
"63","Zirmao 2","adulto",2019,532,17.7333333333333,4.575,0.00859962406015038
"64","Zirmao 2","adulto",2020,564,18.8,4.495,0.00796985815602837
"65","Zirmao 2","adulto-senescente",2019,182,18.2,2.135,0.0117307692307692
"66","Zirmao 2","adulto-senescente",2020,180,18,1.65,0.00916666666666667
"67","Zirmao 2","jovem-adulto",2019,210,21,1.655,0.00788095238095238
"68","Zirmao 2","jovem-adulto",2020,197,19.7,1.405,0.00713197969543147
